size=400x368
components=62
000: x=16, y=16, w=16, h=16, px=256
001: x=48, y=16, w=16, h=16, px=256
002: x=80, y=16, w=16, h=16, px=256
003: x=112, y=16, w=16, h=16, px=256
004: x=144, y=16, w=48, h=16, px=478
005: x=208, y=16, w=32, h=32, px=1024
006: x=256, y=16, w=32, h=32, px=1024
007: x=304, y=16, w=32, h=32, px=784
008: x=352, y=16, w=32, h=32, px=784
009: x=16, y=48, w=16, h=16, px=256
010: x=48, y=48, w=16, h=16, px=256
011: x=80, y=48, w=16, h=16, px=256
012: x=112, y=48, w=32, h=16, px=366
013: x=160, y=48, w=32, h=16, px=366
014: x=224, y=64, w=16, h=32, px=512
015: x=256, y=64, w=16, h=32, px=512
016: x=320, y=65, w=16, h=31, px=376
017: x=352, y=65, w=16, h=31, px=376
018: x=16, y=80, w=16, h=16, px=256
019: x=48, y=80, w=16, h=16, px=256
020: x=80, y=80, w=16, h=16, px=256
021: x=112, y=80, w=48, h=16, px=478
022: x=80, y=112, w=16, h=16, px=256
023: x=112, y=112, w=16, h=16, px=256
024: x=144, y=112, w=16, h=16, px=147
025: x=176, y=112, w=16, h=16, px=147
026: x=240, y=112, w=16, h=16, px=256
027: x=272, y=112, w=16, h=16, px=256
028: x=304, y=112, w=16, h=16, px=256
029: x=48, y=115, w=16, h=13, px=128
030: x=16, y=118, w=16, h=10, px=127
031: x=240, y=144, w=16, h=16, px=256
032: x=272, y=144, w=16, h=16, px=256
033: x=304, y=144, w=16, h=16, px=256
034: x=17, y=160, w=31, h=32, px=606
035: x=64, y=160, w=31, h=32, px=606
036: x=112, y=160, w=16, h=16, px=256
037: x=160, y=160, w=16, h=16, px=204
038: x=177, y=160, w=14, h=16, px=191
039: x=240, y=176, w=16, h=16, px=256
040: x=272, y=176, w=16, h=16, px=256
041: x=304, y=176, w=16, h=16, px=256
042: x=112, y=208, w=16, h=32, px=512
043: x=144, y=208, w=16, h=48, px=768
044: x=176, y=208, w=16, h=32, px=512
045: x=208, y=208, w=16, h=16, px=256
046: x=240, y=224, w=16, h=16, px=232
047: x=272, y=224, w=16, h=16, px=256
048: x=304, y=224, w=16, h=16, px=232
049: x=16, y=240, w=32, h=64, px=1651
050: x=64, y=240, w=32, h=64, px=1651
051: x=160, y=256, w=48, h=48, px=1280
052: x=224, y=256, w=32, h=48, px=1536
053: x=272, y=256, w=48, h=16, px=768
054: x=272, y=288, w=16, h=16, px=256
055: x=304, y=288, w=16, h=16, px=256
056: x=336, y=288, w=16, h=16, px=256
057: x=16, y=320, w=16, h=16, px=256
058: x=48, y=320, w=32, h=32, px=1024
059: x=144, y=320, w=48, h=32, px=1536
060: x=208, y=320, w=48, h=32, px=1536
061: x=272, y=320, w=16, h=16, px=256
